restaurant_id,name,cuisine,location,price_range,rating,num_reviews,delivery_time,is_open,description,comfort_level,energy_level,social_intimacy,adventure_factor,stress_relief,romance_factor
19,"Ramirez, Strickland and Washington Restaurant",Chinese,"127 Webster Trace
Maldonadoshire, SD 83770",$$$$,3.1,286,38,True,Run again help right economy always. Next my majority note myself food. Every story trial never attention choice fast.,0.6936822257814886,0.2207696127887604,0.0823810456158427,0.6804993020747131,0.6545112142811352,0.2732595269982093
20,Hill Inc Restaurant,Chinese,"Unit 5527 Box 1774
DPO AA 78019",$$$,4.8,719,29,True,Follow political book model at. Condition all blood court. Number student price. Perhaps opportunity any determine responsibility actually TV.,0.9508635622504104,0.15105789178090023,0.4323348010426019,0.9436159201675989,0.4197273169261223,0.6385259476640855
21,"Mitchell, Nelson and Flores Restaurant",Chinese,"7700 Decker Club
New Brookefurt, NH 76565",$,4.8,591,43,True,Cover prevent now way next. Indeed black police group learn professor third. Society nearly measure price.,0.3975943979627943,0.27421520234867003,0.9839776479598282,0.409334006315043,0.8940992036791344,0.22995460589108618
22,"Miller, Hernandez and Reyes Restaurant",Japanese,"9359 Mason Circle
Garciamouth, VT 11554",$,3.5,512,22,True,"Feel develop talk. Sign wall state.
News unit choice also green catch happen. Economic eight feel now notice design baby foot. Common stay ready office traditional organization feel.",0.2131047040250833,0.03113408288451136,0.651666825375885,0.36852634372376114,0.864358249839637,0.47320990669155716
23,Mccarthy Inc Restaurant,Mexican,"37788 Michael Haven
Ortizmouth, TX 78867",$$$$,4.4,633,19,True,"Floor north force. Check purpose young wife send. Measure develop face hour car bar number.
Human be maybe similar candidate care nice.",0.9681934279147217,0.18552551570312115,0.8686231679556108,0.7765968527917417,0.770921844644052,0.8447832281168877
24,Russell-Daniels Restaurant,Greek,"51864 Cummings Shoals Apt. 519
West Kyle, SD 92052",$$,3.2,525,43,True,"Certainly and stand current health serious table both. Drug per challenge. Add really born late age.
Deep national seek nature performance yeah reason. Heavy town money.",0.7610239909429989,0.6262203216314154,0.13124487768238757,0.032526179491251916,0.9208478478156868,0.616650314520738
25,Brown-Wall Restaurant,Indian,"148 Schneider Isle
Lake Jacqueline, WA 90339",$$$,3.3,359,18,True,"Test power discuss herself with.
Machine others because current whom night. Always two figure.",0.7965372909761763,0.4815223515125501,0.11730818896239448,0.12518579220255044,0.6855652872289714,0.4303058948994627
26,Stein-Silva Restaurant,Italian,"PSC 1685, Box 0542
APO AE 45292",$$$$,3.4,852,26,False,"Their rather individual of interview fine painting last. Deal catch must son. Finally relate model career.
True fish newspaper we brother fish they. She they increase.",0.20052472670033672,0.4915945467414369,0.06420893707513409,0.5819714019143988,0.26899340443509767,0.7975591006371882
27,"Smith, Gilmore and Johnston Restaurant",Indian,"USCGC Lee
FPO AE 20809",$,3.6,455,59,False,Republican hear system man case cover allow. Understand wear development. Serious at until worry term. Reach term thought into simply part station.,0.31036195892357377,0.4552201490818012,0.011620539908100636,0.07244688779455888,0.3924935564066848,0.4799388347171235
28,Smith-Bell Restaurant,Italian,"880 Walter River
New Nicholas, GA 24204",$,5.0,839,16,True,"Fact huge fight still leave.
Party approach might central stop. Bed may conference one thus national hotel. Late condition opportunity Republican dark lawyer.",0.6000205481193037,0.29166257870930323,0.6949818861265425,0.8601223971892046,0.7798509888933498,0.039618825348357145
29,Castaneda-Ashley Restaurant,American,"706 Rhodes Freeway
Bishopmouth, IN 70494",$$$$,4.4,359,41,True,Analysis color friend the television class. Condition Republican information finally. Eye Congress together whether about she activity.,0.48050694725782894,0.10493017841817487,0.24204501586252747,0.9866625932671464,0.14249554290151323,0.49888815345135606
30,Medina-Navarro Restaurant,Indian,"59774 Shaw Manor Apt. 392
Brettfort, VI 49156",$$$,3.8,616,45,True,Former because board year claim. Particularly reality organization skin concern. See growth along shoulder follow today star. Successful assume likely business teacher forget.,0.6181557343181191,0.702464970544104,0.5596486834869141,0.00977084741918366,0.3264613082439919,0.5177116433847114
31,"Hurst, Freeman and Nelson Restaurant",French,"814 Kathryn Groves
Whiteheadberg, MP 57841",$$,4.5,673,50,True,"Discussion fact cover brother let someone scene debate. Yourself increase free night point action cut example.
Feel nearly short box four. Right pattern ahead compare form full.",0.08786649914483335,0.35062693120918076,0.033203108791366565,0.07857849715502074,0.39692327620159606,0.13271575404306035
32,Johnson-Rogers Restaurant,French,"5060 Shaw Freeway
Vangstad, IN 04195",$$,4.8,832,50,False,"Wide exactly all worker. Move coach paper cost bring site final tax. Even beautiful theory.
Stop few modern company hear also dark. Kitchen agent lot matter. Future low them financial force.",0.5675408482615582,0.6894649691372657,0.8005866991090829,0.2001502442448101,0.16748258225906976,0.10456784033440025
33,"Yates, Ramsey and Pittman Restaurant",Thai,"522 Justin Village
Hortonberg, WV 92977",$,4.9,146,40,True,"Billion she seat. Officer fine throughout. Customer expert mother significant provide evening.
Boy when nice bill my. Five center region exist each author party.",0.6364302495436367,0.7064757264869012,0.03158614482564204,0.9362122462436898,0.05197128365147241,0.5412963353010705
34,Hooper PLC Restaurant,Mexican,"04328 Rodriguez Heights
West David, IA 55528",$$$,3.1,768,57,True,Capital spend turn life lay range report. Like water century time election guy contain. Small think law air little goal.,0.7090605194509164,0.8709691237460856,0.7140869321324278,0.8017280830697918,0.33945019254280606,0.8148251137465122
35,Meadows PLC Restaurant,Italian,"17980 Jennifer Highway Suite 095
New Robert, TN 88085",$$,3.8,908,41,True,"Issue woman note garden reason community prove school. Student boy other foot best knowledge final.
Our rate others star. Management produce bed stage thought tough. Serious produce laugh.",0.08011484638467514,0.8948166560605276,0.5475923761537362,0.8172977699624937,0.45231828451830014,0.643577695196525
36,"Alvarado, Miller and Patterson Restaurant",Italian,"88888 Peter Mountains Apt. 654
West Kristinastad, IA 96569",$$$,3.2,252,19,True,Particularly member summer. Artist too whose a nice. Body executive all it opportunity personal. Image itself deep community cause new.,0.5264026609361132,0.7315895217553319,0.08162998203058958,0.0603520839905638,0.24710323401014644,0.15954468011318834
37,White-Green Restaurant,Mexican,"520 Payne Via
Port Kimberly, NH 91647",$$$,3.7,552,34,True,"Marriage room Republican especially unit office almost.
Low happy oil which bag room money.
Might model particular early piece professional protect. Something fine apply gas sing light mention.",0.8717835665922017,0.21921398735804432,0.9758652558191313,0.33689579177110685,0.18211791568869928,0.7896985071424791
38,Lewis-Murphy Restaurant,Japanese,"17043 Kylie Canyon
Sarahhaven, MO 71677",$,3.3,49,25,False,"Machine camera baby six edge.
Every either scientist page travel. Process have compare site. Machine son television garden base. Other start study sell.",0.6587077755008761,0.498195716453139,0.5553635509376312,0.7192017782722638,0.22845474133129873,0.9963339160567419
39,Ramirez-Bean Restaurant,Thai,"345 Michelle Isle
Davidstad, NE 52932",$$,4.3,238,24,True,Question which raise American truth PM. Particular present evening establish sort effort. Hospital significant see same open crime front real.,0.9747931621467831,0.6503256863469369,0.19954245092914513,0.6802282424312913,0.07219840897917584,0.030652502205806065
40,King-Miller Restaurant,Japanese,"2775 Owen Stream Suite 169
New Kelly, CT 10995",$$$$,3.8,557,54,True,"Point remain build task candidate prevent tonight not. To receive education level.
Two everybody interview tough show food class. Everyone artist home you.",0.2576828885112137,0.4626229567393163,0.8682725054083805,0.727169069766308,0.742706521199981,0.42549333444807536
41,Curry Inc Restaurant,Japanese,"7962 Bell Canyon Suite 964
North Emilyfurt, MN 67752",$,3.5,929,52,True,"Audience road since affect.
Present a also hospital. Record toward off middle. Long identify road speech audience difficult his.",0.3459349925469629,0.3710387629846027,0.9876495637360578,0.04010919141248248,0.8670314961224486,0.5786754085723934
42,Walker-Jones Restaurant,Japanese,"29702 Joel Rue
Michaelshire, AZ 79811",$$,3.5,232,20,False,"Piece grow be plan. Cause cover rest or majority. Society poor matter who.
Already argue skin. If deep president. Learn question them chance often under already.",0.43861541918959046,0.7252576604151365,0.48666894142470285,0.8734232380816606,0.9007018640112585,0.4217209268734554
43,"Williams, Johnson and Wright Restaurant",Mexican,"5719 Alyssa Locks Suite 431
Lake Jacobhaven, MS 74120",$$,3.7,15,22,False,Structure ask stage box. Sometimes determine source international specific word question food. National focus who degree animal community as. Center indeed recent network just.,0.2768277972350516,0.5923503285933622,0.912363345616691,0.21066218900566658,0.6229665835634828,0.6315602200925206
44,Howell and Sons Restaurant,Japanese,"739 Benson Overpass Apt. 121
Thompsonmouth, CO 89882",$$,3.5,331,37,True,Step feeling industry newspaper court worry with peace. Medical less phone decade apply both chance.,0.733113022415281,0.1315676851272598,0.7158249646820886,0.909032520665641,0.17968310887024197,0.23754332492387764
45,Wells Inc Restaurant,French,"Unit 5518 Box 8442
DPO AP 93504",$$,3.9,477,40,True,Single for better scene thank. Through available one approach job democratic. Lawyer hold carry rest place wish dark camera.,0.9713950940416396,0.18097695270948977,0.8543850933695791,0.4922778564480348,0.24723107440317704,0.8707499012725114
46,"Gould, Marshall and Scott Restaurant",Chinese,"PSC 2583, Box 1323
APO AA 03946",$$,3.1,741,57,True,"Address into their easy its. Through option chance off above. Always likely shoulder.
Most look something start laugh drive.",0.4453052550026655,0.5148173539296902,0.3592333693997657,0.5929508514349274,0.16352387258502277,0.3910815366517607
47,Jackson-Lawson Restaurant,American,"8291 Kyle Stravenue Suite 866
East Teresaland, NV 61558",$$$,3.6,84,26,True,Less plant team audience throw four allow international. Recently partner offer debate range. Thing save area war push thousand book half.,0.9694123223352875,0.25813343270112754,0.6567366645412922,0.3251900642246949,0.7734731256866006,0.13087366071834983
48,"Higgins, Strickland and Martin Restaurant",Italian,"89226 Marie Path Apt. 422
Sarahbury, MI 68513",$,3.8,13,40,False,"Laugh may stop like mother stay. Later happy pull really within. Could this beautiful hospital.
When baby clearly born challenge. Themselves minute physical fall.",0.9698210450785447,0.45378954138363925,0.23605046334646396,0.07349674733001266,0.16975790508754074,0.5197739485560177
49,Rodriguez-Johnson Restaurant,Italian,"PSC 1438, Box 4249
APO AP 12746",$$$,4.2,856,27,True,"Leader note together fill smile dinner. Wife show another good lay coach. Republican expect win stuff.
Draw American first call. Hard day religious program within.",0.3370031764312863,0.8288833658826095,0.43088752366180594,0.2487142725876299,0.61714498660403,0.7067772168854458
50,Johnston-Odonnell Restaurant,American,"922 Kirby Port
Port Michelleland, AZ 84577",$$$$,3.5,655,54,True,"Former relate listen face want wonder off. Son rock two full. Rule too cause nearly.
Husband subject land. For part crime money.",0.16704190790094986,0.16761921628831766,0.03667142693354297,0.7364020150656405,0.6638045276218051,0.4746308757498139
51,Sanders-Espinoza Restaurant,Mexican,"396 Tyler Road Suite 473
Evansland, UT 08353",$$,3.3,127,32,True,History activity general final knowledge night. Road know yeah sound eye. Rock increase structure our century field.,0.8441704489691971,0.8056701529500532,0.5853543643967521,0.8682712805132586,0.20584121003676825,0.11191961939772788
52,Vargas Ltd Restaurant,Indian,"7359 Larry Stravenue Suite 562
Zacharyville, MD 32186",$,3.2,890,39,True,Different social child feel policy PM buy. Individual man reach each budget. Manage wife out gun lose.,0.2697496115169896,0.05708685608931485,0.531169528001032,0.9366056922949615,0.03934354066850965,0.1221099140100268
53,Garcia LLC Restaurant,Mexican,"3210 Dougherty Way Suite 325
Jamesburgh, NM 67967",$$,4.9,615,47,True,"Face morning view. Create physical share out cold follow first. Even recently guy move goal.
Carry example single. Future treat bill choice determine could.",0.4521990282834353,0.9338750175279049,0.3161561049767505,0.5072348086883924,0.0415728590503921,0.14834320096208886
54,"Burke, Martinez and Riggs Restaurant",Italian,"0168 Levy Forge Suite 004
Harperfort, LA 70846",$,3.8,513,54,True,"Season budget campaign. Read film decide wonder.
Back simple serious amount. Allow process or light. Analysis feeling act benefit buy.",0.9866301229588469,0.9651186964360455,0.004939980934409616,0.951811785423239,0.6391199378155004,0.8679182945200221
55,Reed Group Restaurant,Italian,"2456 Williams Center
West Angela, CA 51140",$$$,4.2,956,57,True,"Surface listen recently continue pull blue strong. Interest method imagine seven fire letter.
Many guess explain reveal. Foreign break exist outside. Reach subject difficult imagine world.",0.4547398556338591,0.5155960285792502,0.4888465802569202,0.6668642575461043,0.1396512547563129,0.029973589872677953
56,"Wood, Hunter and Peterson Restaurant",American,"912 Phillip Underpass Suite 852
New William, NY 05777",$,4.8,583,26,True,"Hair current customer such. But study rise everything require old.
Green project wear would memory challenge. Blue economy market pick care between apply.",0.3079299415911909,0.7046807627366467,0.20185345212294836,0.6734324333249173,0.9699120461072704,0.09390071578941839
57,Short-Garcia Restaurant,Japanese,"578 Hernandez Passage
West Sarah, MD 21800",$$$$,3.2,450,58,True,"Make energy gas teacher national weight all. They budget late table kind along.
Process single those clearly issue fine home. Notice make network much.",0.6726021182251263,0.44375021930457115,0.8681422543775054,0.1771497894473859,0.6926259522261645,0.8381152896481102
58,Reid-Poole Restaurant,Mexican,"588 Erickson Hills Suite 055
South Brandytown, PA 62706",$$$$,4.8,203,50,True,"Possible or travel assume figure. College Mrs also price institution method.
After like against first now. Occur space beyond push from me. Coach federal wide cut player wind.",0.9446142194740232,0.6832480282896458,0.4971747640084273,0.6178472402012138,0.8689049844787182,0.5706097466388297
59,"Hernandez, Thompson and Boyd Restaurant",Greek,"097 Alexandria Stravenue
Hernandezbury, AZ 75548",$,4.1,856,18,True,Sound item music customer I person law. Congress affect reflect television officer defense while.,0.03038705969683686,0.9309486955069778,0.6895267510315611,0.6765133857772465,0.21567515239771717,0.6588854702326572
60,"Nelson, Morton and Medina Restaurant",American,"USS Lee
FPO AA 41617",$,3.3,724,19,True,"Either over image box. Agree someone financial magazine yard.
Dark evening ahead. Probably compare system white magazine. Area to finish.
Too imagine guy price. However style successful door.",0.3938644056541585,0.6512329770414921,0.10659303030799072,0.657845304603036,0.9994137257706666,0.04821203886055603
61,Marshall-Petersen Restaurant,French,"368 Salas Street Apt. 283
Whitneyfort, NC 49892",$,3.8,401,51,True,"Television argue mouth record both. Interest radio white these view guy resource. Again whom paper success production.
Education his police red total.",0.9771741842213173,0.4069079607228706,0.8707534503372591,0.7823854840582735,0.5670162609866678,0.7384492092513265
62,"Adams, Christian and Rivas Restaurant",Italian,"8585 Bishop Fields
West Angela, IN 39509",$,4.6,35,22,True,"Place these short image almost term. Likely include subject response theory star station.
At inside role natural force receive seven. Picture social carry husband.",0.8785155613013479,0.404140321651033,0.3270331615632387,0.6675933855635847,0.8078459419412586,0.7622851347766157
63,Ramirez Group Restaurant,American,"757 Castro Underpass
Keithshire, TX 71698",$$$$,4.0,444,56,True,Phone trade wind cup red collection husband investment. Chance when color note add. Itself turn law purpose budget require course.,0.7978136488586345,0.435583314812933,0.8178342161750216,0.12020905537060844,0.5444890979608495,0.0057586604981215705
64,Christensen PLC Restaurant,Mexican,"2404 Michael Mills Suite 733
Sarahview, DC 14817",$$,5.0,182,42,True,"Pay traditional hard range leader. Light the window.
Require remain save eight believe. Appear use likely great. Vote whose our security animal effect people few.",0.3245858299002703,0.3664615348713979,0.3961726916092554,0.6954672066898622,0.38855810127034573,0.44869362262253065
65,"Barnett, Rogers and Snyder Restaurant",Italian,"08330 Robert Stravenue
Garciaberg, AL 72636",$,3.8,309,45,True,"Unit executive theory party seven enough. Job close say man wear new.
Country approach consumer. Employee relationship job yet until American ground. Magazine manage suffer term buy behavior test.",0.23754413087432746,0.3732517916293401,0.22726962726315147,0.07319592376844364,0.6034485933813779,0.6682127985550163
66,White-Lewis Restaurant,Indian,"Unit 2677 Box 3454
DPO AP 08255",$,4.5,654,23,False,"Should quality thought ago race. Hour opportunity week student.
Ball store process. Pick especially price forget analysis performance laugh.",0.6194903460096145,0.46349404380057235,0.3797857801792298,0.8633336495718252,0.519081785136218,0.47918187762973097
67,Peterson-Beard Restaurant,American,"PSC 1938, Box 0262
APO AE 52535",$$$$,3.8,335,43,True,Single expect sell pressure building make. Save TV tough page grow benefit.,0.025642065806435688,0.34124782762615635,0.38019561878585706,0.3988227808969005,0.5801723692273323,0.5336025467268785
68,"Beard, Peters and Black Restaurant",Thai,"400 Bradley Coves
Justinside, NC 65239",$$$$,4.7,419,28,True,"Life bad soon feel worker. Success mission far answer baby.
Blue interesting behind produce nothing effect effort.",0.6079050927934446,0.7648832615421283,0.8129857387160935,0.7181230762264944,0.9555236959549347,0.01823258267636163
69,Miller Ltd Restaurant,Italian,"743 Mark Street
Wongburgh, AL 97050",$$$,4.1,127,54,True,Decision back word else. Its adult house actually. Least if price season rise field spend.,0.1957779856835461,0.00756287497814212,0.647474714154603,0.8980305489499869,0.24348229657629927,0.9270345447963066
70,Freeman-Chang Restaurant,Mexican,"329 Wilcox Passage Suite 161
East Thomas, IA 01396",$,3.1,845,55,True,White likely teacher one cut notice. Anything account piece require woman support.,0.06026739028956085,0.9344360268055143,0.3516226872396344,0.10142082844921652,0.48587175918632564,0.25677656772050794
71,"Alvarez, Joseph and West Restaurant",Chinese,"4549 Jose Lake
North Elizabeth, NH 40714",$$$,3.1,796,36,True,"Third rich hospital indicate. Somebody son suddenly perform executive see. Can current paper beyond indeed year field.
Another adult thing ground city still thus. Southern front box.",0.28487290196192283,0.3072899649262866,0.8030258978326634,0.5391612766752545,0.31130769915600365,0.6103337833109184
72,Davis and Sons Restaurant,Greek,"145 Jeffrey Dale Suite 279
Robertside, PW 62213",$$$$,3.3,733,25,True,Prove relationship unit just lead success book black. Participant teach big none medical cold brother day. Church factor kid media run between.,0.7161506742231936,0.27262400073353377,0.4135491015253515,0.12188609333694755,0.18114934953468032,0.6811178539649828
73,Holt-Torres Restaurant,Korean,"91878 Miller Port
North Mariahaven, ID 75566",$$$$,3.0,234,37,True,"Truth together weight might radio want. Certainly act south want be fire. Its hotel also two.
Around place require produce mind fast I. Them return finish general still too particular.",0.18143834769562694,0.5251633836670602,0.7090462617224327,0.10687692309474384,0.5673122196289035,0.25656278370136376
74,"Wood, Tran and Cooper Restaurant",Japanese,"8713 Davis Pass
Stokesmouth, DC 67773",$$,3.2,541,15,True,"Yeah exist behavior necessary miss serious civil. Three music else.
Would book art health phone great. Series walk large.",0.9629268752375798,0.4835456467199247,0.8059925497751581,0.5502265421562618,0.043412532854819164,0.6331513755940223
75,"Pierce, Bell and Chavez Restaurant",Korean,"740 Scott Alley
New Charles, NE 45659",$,4.4,122,51,True,Better Republican stock bank artist thousand live. Back quality idea next single the once. You ready way rule indicate clear.,0.951403342206657,0.6016118201463312,0.8191888594267902,0.8842064633484078,0.22807977194893247,0.21204483990822665
76,King-Martinez Restaurant,Mexican,"70462 Katie Stream
Brooksfurt, NV 49980",$$$,4.1,149,35,True,"Agreement central six instead view figure exist. Standard major business give.
Loss finally laugh full help strong.",0.6109809888509917,0.4110284698067047,0.8398613028667203,0.9000231233980112,0.3534213793027181,0.23687055897448206
77,Stewart Ltd Restaurant,French,"512 Rice Stream
Port Adam, AK 39608",$$$$,4.5,568,40,True,Popular be western my. Whatever miss seek. To build view conference affect skill early.,0.7805255152438618,0.2748060355481361,0.8226143185136784,0.42373825364876283,0.6675498992914705,0.09553531383466818
78,"Tapia, Vaughn and Lee Restaurant",French,"633 Reed Harbor Apt. 106
East Jamieville, PA 04901",$$$$,4.8,10,50,True,"Agree around hope floor. Throw election walk tonight appear dream. Only manage sell his boy art let imagine.
Imagine do though. Never only big several prepare. Fight image base player.",0.623859324676573,0.4517676787372291,0.5866084631754741,0.16801420774486342,0.7368737449441821,0.8627970775432285
79,"Washington, Hardy and Bray Restaurant",Chinese,"06738 Karen Trail
East Williamport, IN 96382",$$$,4.2,99,37,True,"Art two event. Style herself goal place one.
Animal school none feel house. Store rise your there. Particular whatever five radio garden.",0.21673980009077565,0.09571455552016173,0.023638586046336396,0.641971500443266,0.6070940360887808,0.54669741271407
80,"Carlson, Hooper and Wall Restaurant",Japanese,"42836 Hill Point Apt. 687
West Shellyfurt, WY 69243",$$,4.5,663,15,True,"New recent major hotel ball theory. Much throughout staff knowledge.
Will heavy over hit stuff speech. By have cover.
Sea serve quite remember course.",0.23194709611597542,0.39090599590551467,0.594476335186173,0.4967668588591694,0.9877855202148873,0.13643975255673313
81,Perez-White Restaurant,Thai,"2462 Allen Fork Suite 270
Faulknerside, NC 18076",$$$$,4.5,329,54,True,Court question yeah realize mouth. Quite third ability interview pull. Take follow such.,0.6951445540475938,0.4043187681042921,0.42819961492561476,0.7175977656581762,0.6924361513243696,0.9912559937021883
82,Erickson and Sons Restaurant,Chinese,"51751 Brett Lane Apt. 139
South Jason, PW 44143",$,3.8,559,29,True,"Culture forget as personal agreement. Space or phone free economy blue.
Strategy start mind door authority outside. Shake personal often beat art almost.",0.12839428945412523,0.10410964938416634,0.7243388171287412,0.5783869170064091,0.27416066655980587,0.0794193689889866
83,Williams-Brown Restaurant,Korean,"31739 Randy Garden
Kimberlyfurt, NH 70447",$$$$,3.5,814,35,True,People fund visit situation law foreign court bill. Require or subject toward call meeting green loss. Know during someone art find job where senior.,0.08565824959643054,0.8941908746641183,0.1918673247187429,0.32337156211552076,0.22665640222698802,0.3549963058319373
84,Terry-Martinez Restaurant,Chinese,"5877 Leah Stravenue Suite 535
Robertshire, VI 29503",$,3.4,903,23,False,Crime customer training size game property. Outside former official white pattern industry class. Then treat many turn police really level.,0.06942384274609337,0.5190597909082704,0.0676125635922149,0.8003565078223616,0.23371208191043302,0.5400119146045106
85,Garcia-Smith Restaurant,Korean,"8996 Hernandez Isle
South Ashley, IA 65945",$$$,3.5,148,23,True,"Create one she analysis ahead cup. Despite energy company suggest.
Cultural compare energy big. Her skin book very.
Drive special produce wait with young think. Budget third capital couple.",0.8800790875614583,0.6508773690471942,0.5329577865513353,0.3243337531153756,0.33300191305819793,0.6694869551981901
86,Harrison-Alexander Restaurant,Italian,"7772 Jackson Stravenue Suite 280
Port Melanieton, WV 01337",$,3.5,520,24,True,Material less focus hear reason resource. Listen ok point so power debate thus. Tell how fill thousand number very hear.,0.9941393612211675,0.6618391898493786,0.5577834173700249,0.7306505102392461,0.46520561228371815,0.060142342600785215
