restaurant_id,name,cuisine,location,city,price_range,rating,num_reviews,delivery_time,is_open,restaurant_type,description,phone,website,established_year,comfort_level,energy_level,social_intimacy,adventure_factor,stress_relief,romance_factor,avg_wait_time,capacity,parking_available,wheelchair_accessible,accepts_reservations,outdoor_seating,wifi_available,live_music,happy_hour
19,Grant Group Restaurant,Korean,"699 Lee Valley Apt. 263, San Diego, GA 70392",San Diego,$$,3.2,293,62,True,Vegan,"Degree material itself. Traditional public prove big staff long. Goal structure whatever particularly operation final if.
Laugh size run add kind. Series color year wide often lawyer form.
New letter often piece especially. Area identify keep middle party education factor. View attorney allow.",+1-856-423-8995x79675,https://medina.net/,2017,0.406,0.436,0.133,0.864,0.907,0.972,6,36,True,True,True,False,True,False,True
20,"Garrison, Ray and Turner Bistro",Japanese,"090 Gamble Bypass Apt. 164, Boston, MT 89518",Boston,$,3.0,329,59,True,Wine Bar,"Including through tell far. Prove forward type long.
Benefit box right there. Leader probably collection free beautiful. Add choice drug.
Occur affect everything goal against. Certainly little color though experience.",333.959.3136,http://www.leon.com/,1959,0.603,0.702,0.681,0.379,0.219,0.767,6,103,True,True,False,True,True,False,True
21,"Berry, Thomas and Wallace Restaurant",French,"96605 Amanda Ranch Apt. 269, Portland, ID 43901",Portland,$$$$,2.7,1802,89,True,Bistro,"Some star stay audience. Keep happen down glass will.
Interesting student it. Mind nice north do whose concern ok. Cup network throw.
Beyond newspaper street policy you speech popular.
Traditional yes oil. Risk plant character wide woman. People east without human husband.",732-857-8515,http://perkins-fuller.com/,2009,0.167,0.367,0.768,0.593,0.187,0.539,8,99,True,True,True,False,True,False,False
22,"Bean, Gomez and Spence Kitchen",Italian,"71899 Gary Expressway Suite 361, Los Angeles, WV 23747",Los Angeles,$$$,4.5,393,55,True,Organic,"Per line audience fish national memory. All effect land box order already dinner. Consumer firm prove activity let.
Window measure wait. Policy recent your owner. A step wear morning yeah fear.
Ball performance with its item always. Discussion piece issue.",6323259884,https://www.mathis-cook.com/,2009,0.786,0.509,0.651,0.919,0.464,0.903,19,47,False,True,False,False,True,True,False
23,Jackson-Hill Cafe,Korean,"813 Robert Circles Suite 270, Las Vegas, WY 31629",Las Vegas,$$$$,4.3,1130,57,True,Cafe,"Even too speak each read lose scientist.
President full red guy. Evidence statement next young participant toward camera where.
Week by cup impact its itself however. That mean almost prove research also more. Their which bank until school institution far.",842-308-4987x61939,http://www.johnson.biz/,2007,0.983,0.604,0.988,0.255,0.89,0.993,20,72,False,True,True,False,True,False,False
24,Wells-Wells Kitchen,British,"44906 Jenkins Place, San Antonio, WA 83076",San Antonio,$,3.4,661,25,True,Food Truck,"Generation century show write. General even company whether help. Long mother trade thus.
Begin mission receive change. Like election leader require.
Relate year order rise. Fine prepare consider none southern.",001-307-209-7307x1403,http://www.gonzalez-simon.biz/,1951,0.017,0.66,0.9,0.411,0.824,0.647,22,159,False,False,False,False,True,False,True
25,Allen-Jones House,French,"6830 Jackson Pine Suite 403, Detroit, VI 72870",Detroit,$$$,3.4,1671,88,True,Cafe,"Option behavior buy total loss citizen. Behind figure find hot.
More travel popular two almost. One order physical spend.
View analysis game dinner.
Three page player effort support include manager.
Car contain case none threat mention standard. Day quickly blue home mouth share lawyer.",330.537.9052,https://henderson-scott.biz/,1973,0.359,0.725,0.094,0.862,0.02,0.871,41,84,False,True,True,True,False,False,False
26,Hayes Group Cafe,Mexican,"77840 Gregory Lakes Suite 885, Austin, TN 91363",Austin,$$$$,3.8,561,37,True,Bistro,"Any news move option. Issue why themselves response second right health.
Others build data plant win.
Because or herself parent. Begin guy organization military election.",755-723-3555x663,https://www.williams.com/,1977,0.593,0.609,0.224,0.617,0.952,0.547,18,30,True,False,False,True,True,False,False
27,"Morrison, Miller and Bishop Bistro",Vietnamese,"131 Michael Forks, Albuquerque, GU 43111",Albuquerque,$,2.7,1380,19,True,Sports Bar,"Bar upon bed state suffer. Party factor against health just compare.
Example grow address particular item capital. Born we green very. Win sea even range how ready upon. Audience conference reality hospital deep fear involve.",412-653-4387,http://cantu-rich.com/,1995,0.852,0.336,0.55,0.616,0.835,0.407,31,169,False,True,True,True,True,False,False
28,Johnston-Powers Cafe,Lebanese,"3304 Ball Highway Suite 194, New York, NH 83837",New York,$$$,3.1,1568,61,True,Food Truck,"Green water large father. Position wish claim character hair.
Store reach manage sing special. Land head quality page mind within save.",001-289-612-4541x53559,http://lewis.org/,2008,0.975,0.35,0.798,0.004,0.813,0.313,23,196,True,False,False,False,True,False,True
29,Weaver-Roberson Bistro,Mexican,"751 Nancy Land, San Jose, UT 33834",San Jose,$$$$,4.6,1431,47,True,Sports Bar,"Live line magazine final. Blue cut piece development offer. Hair government government try everyone.
National able data. Dream than professor shake street onto. That pull mother.
Party democratic than try mouth analysis. Health appear worker even source however. System administration tend.",001-846-694-3573x4404,http://www.gardner.com/,1973,0.523,0.431,0.11,0.352,0.19,0.678,6,190,True,True,True,False,True,False,False
30,Long PLC Restaurant,American,"690 Marcus Inlet, Austin, NH 60689",Austin,$$$,4.0,777,29,False,Buffet,"Group we physical some difficult almost. Instead suggest responsibility attention. Program general answer pull.
Establish one buy building despite. Picture citizen later light save section assume. Fast candidate population section kitchen character think fire.",985.913.6141x3358,http://www.burton.com/,2007,0.382,0.696,0.647,0.001,0.891,0.348,26,160,True,True,True,False,False,True,False
31,Ingram Inc Grill,American,"534 Flores Field Suite 813, Indianapolis, PR 30772",Indianapolis,$,3.8,694,85,True,Family Restaurant,"True woman result check issue poor special. While point red tend local range explain final. Her affect particular condition thing natural send.
Away care at produce. Know dinner artist memory top. Force Mrs service source science college someone manage.",572-333-7708x94941,http://calhoun-ray.com/,1956,0.113,0.191,0.782,0.561,0.71,0.365,10,132,False,True,False,False,False,False,False
32,Gutierrez Ltd Kitchen,Filipino,"8698 Andrew Valley Apt. 453, Jacksonville, NY 11392",Jacksonville,$,3.0,1151,65,True,Wine Bar,"After month six. Water billion yet language enough say behavior.
Consumer stock son write. Range base of Congress party.
Professor agency culture music miss buy dinner person. System evidence yes measure machine.",975-746-5788x1783,https://young-schneider.biz/,2016,0.801,0.223,0.491,0.101,0.777,0.594,21,71,False,False,True,True,True,False,False
33,Best-Jackson House,Chinese,"928 Burgess Cove Suite 185, Houston, VA 49419",Houston,$,4.2,554,40,True,Fine Dining,"My unit design by pass worker. Skill though peace only site someone. Worker before consumer must.
Most food economic share his culture traditional cold. Six image actually yeah.",(517)922-7261x584,http://brown-williams.com/,1957,0.36,0.649,0.599,0.686,0.09,0.327,7,85,False,False,False,False,True,True,True
34,Adams LLC House,Indian,"149 Roger Rest, Charlotte, NM 90654",Charlotte,$$$,3.9,331,29,True,Seafood,"All rule college understand see staff. Interesting enjoy few. Father artist himself.
Fish pattern bad president turn century model.
Personal finish send. Choose outside many second ready seven. Rise carry establish.",784.967.4453x304,http://castillo.com/,2000,0.966,0.812,0.691,0.381,0.79,0.308,15,68,True,True,True,True,True,True,False
35,Chan Inc House,Ethiopian,"195 Daniels Lights, Las Vegas, WI 32641",Las Vegas,$$$,4.6,1492,67,True,Fine Dining,"So national fast turn new. Yourself magazine detail it star.
Detail adult exist best build worker factor.
Late head say treat east political attack. White source lead worry away. Group rock fear prevent.
Stage whatever wish no well throughout. Before young program skill. Since fine without carry.",960.364.1024,http://sutton.net/,2006,0.077,0.599,0.328,0.357,0.93,0.375,30,137,False,True,False,False,True,True,False
36,Martin Inc Restaurant,British,"02842 Paul Trace, San Antonio, CA 31783",San Antonio,$,3.8,1889,31,True,Organic,"Language maybe along professional during. Clearly work a bag agreement key impact. Between behind four.
Increase law clearly language myself. Ten participant range appear ahead. Table poor present put raise myself enough.
Small second career against. Hit environmental recent my teacher.",(390)352-0529x662,https://www.reeves.com/,1980,0.56,0.865,0.344,0.507,0.017,0.957,37,27,True,False,True,False,True,False,True
37,Wade-Smith Bistro,Persian,"960 Crystal Wells Apt. 794, San Diego, MI 48991",San Diego,$$$,3.4,1148,18,True,Cafe,"Where professor pretty set accept then bring deal. Total box to risk space team. Cultural campaign draw three factor PM.
Personal prevent shake rule. Majority continue necessary somebody want treat whatever trade. Key call board interview song per save late.",847-609-8529x71900,http://thornton-fuller.info/,1953,0.6,0.887,0.506,0.914,0.196,0.213,6,108,False,True,False,False,True,False,False
38,Jones-Bolton Bistro,Persian,"349 Cannon Dam, Memphis, NJ 97426",Memphis,$,3.7,1952,68,True,Buffet,"Modern impact wonder message. Person TV feel view. Role physical close sea church.
Order cold will company specific. Mention central show arrive choice.
Bad item smile think information program while. Who your clearly officer.",355-673-6888x77603,http://smith-jones.com/,2003,0.774,0.697,0.568,0.698,0.164,0.179,35,200,True,True,True,False,True,False,False
39,"Wang, Perkins and Fields Restaurant",Russian,"879 Jason Square, Albuquerque, AS 69023",Albuquerque,$$$,4.8,1884,63,True,Fine Dining,"Bar white design grow shoulder. Family law each alone put.
Item money back letter may. Mouth evening lay.
Man speak pass very. Campaign herself now much road watch decide. Here simple land information start thought. Possible across reason know any budget bed concern.",001-463-474-5434x4900,https://www.campos.org/,1952,0.96,0.544,0.709,0.719,0.138,0.51,16,143,True,True,True,False,True,False,False
40,Gonzalez Group Bistro,Chinese,"59292 Victoria Springs Suite 197, San Jose, AK 27874",San Jose,$$$,2.6,1689,55,True,Fast Casual,"Over street would behind be section reach.
Mouth southern field believe. Walk official interest beat that friend.
Foot alone offer.
Southern accept fine try gun face. Suggest relate front store yard. Minute college or arm next election term.",(768)386-8277x8568,https://www.smith-mcbride.com/,2006,0.596,0.219,0.682,0.898,0.645,0.129,42,200,True,True,False,True,True,False,True
41,"Thompson, Rodriguez and Bauer Bistro",German,"7271 Nathan Streets, Austin, VA 26934",Austin,$$$,2.8,1022,19,True,Wine Bar,"You true employee agree kid anything agreement.
Catch fact girl own debate how compare. Use order become third. Then break which clearly he if.
Top imagine nearly behavior. Movement agency another money begin.
Voice can toward add none center. Sure watch speak. Eat on away data air wall.",+1-284-200-4784x859,https://www.harper.com/,2007,0.274,0.284,0.026,0.122,0.953,0.707,20,146,True,True,False,False,True,False,False
42,Byrd PLC Bistro,Persian,"9942 Brittany Mill Apt. 359, Austin, SD 78426",Austin,$$$$,2.7,1276,24,True,Steakhouse,"Meeting and box chance.
Large day society interview. Us much choose model right.
Answer human least worry situation. Already decide camera window board state and deep. Simple challenge daughter become.",2954442393,https://www.brown-morgan.com/,1979,0.308,0.052,0.818,0.56,0.091,0.185,22,85,False,False,False,False,True,True,False
43,Mcintosh Ltd House,American,"10130 Hess Port, Portland, LA 51779",Portland,$$$,2.5,976,57,True,Farm-to-Table,"Factor thousand set report service alone. West cultural this guy inside them and. Approach personal interesting dinner.
Wide beyond either agreement lose risk population back.
Carry often base total ability. Do strategy small let develop magazine. Case know collection accept stock little somebody.",(502)943-4880,http://hoffman-wallace.com/,1955,0.128,0.455,0.065,0.602,0.307,0.039,15,103,True,True,True,True,False,False,False
44,"Wilson, Fowler and Mills Cafe",Filipino,"8118 Johnson Lake Apt. 628, Boston, AK 93691",Boston,$$$,3.9,1515,72,False,Food Truck,"Deal white those. List score page entire middle thus team.
Chair deep building win minute garden soldier. Respond fight range go why produce order.
Stuff executive Congress. Site citizen method reduce image. Impact new these song task.",2474662183,https://www.mclaughlin.com/,1979,0.987,0.584,0.457,0.929,0.138,0.271,12,118,True,False,True,True,False,False,False
45,"Vincent, Lawrence and Marquez Kitchen",German,"06517 Jeffrey Coves, Albuquerque, IL 82799",Albuquerque,$$$,3.7,1589,28,True,Vegan,"Pattern current book. Father move focus people responsibility carry they reach. Education modern strategy rather create certain.
Quickly up charge section single. Ok wrong success natural picture sell. Buy cover manager.",321.478.9553x754,https://www.fritz-adams.net/,2011,0.759,0.16,0.769,0.64,0.005,0.995,8,20,True,True,False,False,True,False,False
46,"Taylor, Nielsen and Serrano Cafe",Thai,"5607 Katherine Cliffs, Jacksonville, CA 52636",Jacksonville,$,4.4,1008,73,True,Farm-to-Table,"Stuff certainly out figure. Within member drive beat lay chair huge. See simply serve low face must.
Thought class deal everybody law quite age. Impact have beat help country. Sister power Democrat our.",498-309-6160,https://www.stephenson.com/,1992,0.804,0.083,0.147,0.208,0.045,0.133,12,101,False,True,False,False,True,False,False
47,Wilson Ltd Grill,Turkish,"065 Clark Port, Las Vegas, FL 09722",Las Vegas,$,4.3,1341,16,True,Bistro,"Worker prove happen check rule site life. East this exactly politics pass in record. Example question president base air tell.
Past Mr them public these ground. Water economic teacher product financial significant. Idea sing try style inside oil data.",001-298-893-7310x256,https://spencer.com/,2006,0.702,0.289,0.648,0.447,0.143,0.328,37,179,True,False,True,True,False,False,True
48,Vance-Jackson Grill,Filipino,"599 Rodriguez Extension Apt. 567, San Francisco, MS 24657",San Francisco,$$,3.7,1506,18,True,Fine Dining,"Important site company season ground her let. Child stay mean full. Weight may how very technology perform ahead.
Wonder though too environment kitchen participant. Response expert happy.
Hot prove budget help. We issue according offer factor.",+1-316-457-9818,https://www.fuller.net/,2009,0.469,0.139,0.763,0.792,0.376,0.167,13,135,True,True,True,False,False,False,False
49,"Doyle, Cruz and Marshall House",French,"86633 Steven Camp, Fresno, WA 40141",Fresno,$$$,4.2,176,53,True,Fine Dining,"Road produce assume scientist above would. Make lawyer political tend lot space. Stock scientist standard cut nor soldier. Board there institution late push.
Level order six fight close notice through. Its fear between money amount garden.
Hope under method power.",001-828-886-2251x967,https://brooks.org/,1992,0.908,0.248,0.954,0.174,0.389,0.173,11,102,True,False,True,True,True,False,False
50,Taylor-Nelson Kitchen,Ethiopian,"358 Copeland Terrace, Austin, WY 58010",Austin,$$$,3.2,98,25,False,Casual Dining,"Should practice let full.
Force win number. Build conference address. Those he safe voice back light of.
Card must lawyer write real.",240-782-0022x1617,https://watson-steele.com/,1999,0.254,0.79,0.317,0.658,0.009,0.431,42,155,True,True,True,False,False,False,False
51,Barry-White Bistro,Indian,"89486 Dalton Skyway, San Francisco, HI 70238",San Francisco,$$$$,3.2,1908,76,True,Fine Dining,"Rock series others activity. Office soon argue month. Can ability red guy. Already yet on by.
High paper your we mean car. Large public mean season on structure yeah.
Whether behavior prepare picture head magazine close.
Clear particularly final challenge condition. Throughout room garden also.",001-599-834-4195x507,https://www.hall.info/,1957,0.434,0.115,0.413,0.046,0.156,0.785,11,60,True,True,False,False,False,False,True
52,Sanchez-Miller Bistro,Mediterranean,"81334 Ramirez Extensions Suite 262, Austin, MP 97986",Austin,$$,3.1,1009,83,True,Farm-to-Table,"Arm look tough ground keep receive nice. May finally occur guy exactly pretty catch record. Professional boy well others college add. Floor continue education community degree.
Leg shake history ground. Common season there action seem agency onto.",(204)371-8296x0935,http://www.king.com/,1963,0.768,0.488,0.22,0.369,0.388,0.598,17,65,True,True,False,False,True,False,False
53,"Hernandez, Ballard and Brooks Bistro",Moroccan,"6258 Bradford Lodge Apt. 796, Houston, NJ 23136",Houston,$$$$,5.0,1920,47,True,Wine Bar,"Wide national standard indeed share. Benefit provide reflect situation.
Hand first go exist. Deal anyone seem party interesting. Where paper west like gun pull.
Us hand couple power voice. Yes local act quickly down medical.
Second pass ok dog two marriage stock respond. More very soon.",001-511-371-0703x070,https://www.skinner.com/,1978,0.271,0.24,0.702,0.727,0.081,0.984,36,130,False,True,False,True,True,False,True
54,"Cummings, Collins and Sexton Restaurant",Spanish,"7867 Jackson Burgs, Austin, AR 64654",Austin,$$$$,4.2,279,81,True,Casual Dining,"Chair member third because address general two. Situation Republican describe. Difficult security room ball matter address.
Could study suggest. East benefit understand couple life foot her. And various three total rise.
Bed consumer ok character water page. Since husband as dinner admit.",601.621.3223x42129,https://www.black.biz/,2018,0.225,0.737,0.558,0.658,0.218,0.36,32,142,True,True,True,False,True,False,True
55,Williams-Smith Kitchen,Greek,"919 Daniel Curve, San Jose, IA 08024",San Jose,$$$,2.9,688,58,True,Vegetarian,"Seven less situation American majority yard itself. The decision owner wind develop.
Have carry think attorney a skill. West floor figure quite page man experience.
Level place tough above shoulder two watch. Task price state decade. Beat which art either.",6264235588,https://www.brown.com/,1997,0.707,0.356,0.806,0.196,0.297,0.96,14,147,False,True,True,False,True,False,True
56,Willis-Thomas Cafe,Mediterranean,"3335 Jones Forge, Charlotte, CT 94355",Charlotte,$$$$,3.6,278,80,True,Cafe,"End season product however. Discover prevent certainly tree air. Heart father cost size memory design whatever.
Start few suggest. Drive real laugh age lay also.
Western sport little send third offer. Those far visit.
Several several next nor main. How go finally town scene cut identify.",001-217-341-1817x3861,https://simmons.com/,1954,0.134,0.866,0.831,0.365,0.112,0.338,35,68,True,True,False,True,True,False,True
57,"Brown, Andrews and Flores Cafe",Mediterranean,"45812 Thomas Locks Apt. 180, Tucson, KS 07585",Tucson,$$,2.5,827,74,True,Buffet,"Radio guy she vote month painting mission instead. Movie under hope name.
North image professor despite appear. Life money list person mission sort write.
Through happen a court. Sure long box compare center arm.
Bar house five world share. Risk prevent former address.",781-921-6294,https://carter.org/,2020,0.883,0.287,0.643,0.279,0.547,0.136,19,139,True,True,True,True,True,True,False
58,Cruz and Sons Bistro,British,"83736 Allen Flat, Columbus, AS 67035",Columbus,$,2.6,547,87,True,Cafe,"Game often establish budget idea raise hair. So dinner enough experience mention build across. Name officer effect it tough different thus.
Pay station attorney travel worry happen. Like let collection still. Air peace land.",001-735-433-6241x58389,https://www.brown.com/,1967,0.308,0.942,0.906,0.637,0.843,0.911,18,107,True,False,True,True,True,False,True
59,Simon Inc Kitchen,Indian,"581 Steven Lake, Baltimore, GA 07225",Baltimore,$$,2.5,1346,25,True,Casual Dining,"Respond full significant behind pass class building then. Weight share vote spend commercial stop.
Machine service kid moment door particularly tax. Speech loss capital respond.
Throw board sense lay. Plant return management.",263.579.7326,https://wolf.biz/,1995,0.946,0.692,0.115,0.829,0.441,0.213,37,58,True,True,False,False,True,False,True
60,Poole Ltd Restaurant,Mexican,"972 Campbell Brook Apt. 768, Las Vegas, AK 90372",Las Vegas,$$$,2.5,1425,43,True,Fine Dining,"Nothing himself admit available record which stay. Anyone test development no product grow.
Bring health fast answer prepare education. Environment difficult step beat different fear assume. Subject anyone value tend common against.
Since woman former manage father. Allow city minute end.",8582338800,https://miller-lopez.biz/,1993,0.867,0.564,0.678,0.198,0.516,0.307,12,82,True,False,True,False,True,False,False
61,Jones PLC House,Brazilian,"3581 Maria Burgs, Jacksonville, IN 90394",Jacksonville,$,3.8,1212,25,True,Fine Dining,"Develop page strong official between. Week third throw rule child boy name suffer. Tonight other loss season choice.
Race open game result. Wrong price American soon kind difference picture.",+1-424-262-5323,http://miller.com/,1987,0.271,0.56,0.541,0.258,0.113,0.816,14,54,False,True,True,True,True,True,False
62,Sanchez-Pineda Restaurant,Japanese,"58087 Freeman Path, Jacksonville, PA 37290",Jacksonville,$$,4.6,1893,23,True,Bistro,"Senior necessary future. Enough threat shoulder focus mention cost cause. Lay life fund want both. Up very imagine able until.
Him camera although chance by season. Deep paper out pick. Mouth Democrat of. Act month rest avoid heart side financial.",(293)957-8344x64235,http://www.thomas.com/,1956,0.035,0.343,0.756,0.023,0.853,0.588,38,173,True,True,True,True,True,False,True
63,Oliver LLC House,Spanish,"760 Justin Place, Oklahoma City, ME 14384",Oklahoma City,$$$,2.5,949,32,True,Seafood,"Three month follow mission. Happy nor worry save toward east simple.
Take night upon offer daughter benefit. Present great say project establish behavior. Eye guy positive rich.
Benefit ask expert.",(724)847-7935,http://quinn-brown.net/,1977,0.371,0.304,0.73,0.292,0.694,0.707,45,124,False,True,True,False,True,False,False
