user_id,restaurant_id,rating,timestamp,order_type,party_size,wait_time,occasion
1377,4160,1.9,2023-11-04 16:45:47.382658,Takeout,8,6,Family
864,4944,2.1,2024-04-29 22:32:31.131814,Takeout,2,50,Celebration
117,4902,1.0,2024-05-15 22:49:35.092105,Delivery,8,22,Date
1659,1904,1.4,2025-06-26 13:41:32.912463,Dine-in,7,18,Business
477,3225,1.0,2024-11-03 22:12:41.758572,Dine-in,7,37,Date
1578,658,2.3,2024-03-21 06:24:46.027251,Dine-in,8,30,Business
1569,1959,1.9,2024-05-03 02:56:49.658336,Takeout,4,33,Celebration
1174,2302,1.1,2025-02-10 08:22:57.859236,Dine-in,1,15,Celebration
1557,3946,1.7,2024-03-29 18:46:15.358043,Dine-in,8,45,Family
470,1176,1.6,2023-11-18 00:00:42.625433,Takeout,6,52,Casual
77,615,1.4,2023-08-20 03:10:48.133373,Dine-in,4,56,Date
1705,2522,1.9,2024-05-30 23:34:04.443540,Delivery,6,13,Celebration
589,3383,2.2,2024-08-04 02:58:08.820422,Dine-in,4,24,Family
1653,862,2.4,2024-10-15 14:12:56.775103,Delivery,7,51,Celebration
923,3732,2.3,2025-04-20 01:17:52.203259,Takeout,5,9,Date
44,4222,1.5,2023-07-27 00:10:05.623847,Takeout,3,27,Celebration
1001,394,1.6,2023-10-01 00:18:57.838717,Takeout,5,58,Date
42,938,2.3,2024-04-17 14:28:38.165442,Delivery,5,34,Celebration
1333,2560,1.7,2024-05-21 11:49:20.232064,Takeout,6,13,Casual
444,4313,1.2,2024-10-25 18:20:19.816186,Delivery,8,28,Date
1373,1678,1.9,2023-09-03 06:56:26.390986,Dine-in,6,39,Date
1925,2180,1.0,2025-06-19 23:17:21.577264,Takeout,3,32,Family
198,4951,1.2,2023-07-25 06:53:24.714696,Dine-in,1,44,Date
1873,477,1.6,2025-06-06 10:05:55.845573,Takeout,8,22,Celebration
609,3616,1.7,2023-11-12 11:02:48.220417,Delivery,1,54,Family
378,1830,1.0,2023-09-26 23:38:53.681867,Dine-in,1,35,Date
438,3835,1.5,2024-06-01 07:20:45.006707,Takeout,3,26,Business
902,2854,1.5,2023-10-30 04:56:29.117602,Takeout,7,23,Family
1626,4505,1.6,2023-12-27 19:39:18.320177,Dine-in,2,50,Date
844,1156,1.6,2023-09-06 02:48:35.615060,Delivery,1,42,Business
1243,4701,2.0,2024-01-29 04:23:59.972827,Takeout,2,48,Date
1322,4755,1.5,2024-03-22 19:51:55.614933,Delivery,3,37,Family
1651,2451,1.0,2023-11-21 22:05:39.241598,Takeout,1,31,Date
62,4223,1.7,2024-09-14 23:42:21.523707,Delivery,3,53,Business
735,1310,1.8,2024-11-06 06:30:29.808963,Takeout,3,14,Family
1495,3837,2.4,2024-11-14 15:18:12.087794,Dine-in,8,54,Business
923,2969,1.4,2024-01-10 08:07:18.283910,Dine-in,7,19,Celebration
816,926,2.2,2023-09-18 14:51:42.351940,Dine-in,6,59,Family
949,4893,1.5,2023-11-05 00:17:14.883613,Takeout,3,35,Business
1327,2518,1.0,2024-09-25 18:34:03.027846,Takeout,3,50,Business
1835,1876,2.1,2023-07-23 10:39:16.326365,Takeout,5,21,Date
1539,3795,1.0,2024-01-05 08:55:57.245426,Dine-in,8,24,Casual
1233,3472,1.8,2024-11-08 01:22:17.539955,Takeout,4,42,Celebration
555,971,1.1,2023-07-31 19:51:16.385317,Delivery,4,53,Celebration
209,1486,2.0,2024-03-05 03:14:54.618414,Delivery,7,50,Casual
519,213,2.1,2025-05-09 19:05:15.956703,Takeout,8,50,Celebration
70,4163,2.0,2024-04-05 01:00:04.960655,Dine-in,2,29,Date
111,4799,2.0,2024-04-15 05:55:27.629992,Delivery,3,59,Date
718,3687,2.0,2024-08-10 21:56:21.569035,Delivery,2,32,Casual
1093,4802,1.0,2024-10-24 03:39:04.276322,Takeout,1,34,Family
1534,2685,1.4,2023-12-07 06:01:50.459370,Delivery,6,39,Date
1369,29,2.2,2025-04-01 01:16:25.798934,Delivery,4,8,Casual
1347,2623,1.2,2024-06-14 00:06:32.824143,Delivery,2,15,Family
759,3788,1.6,2023-09-16 11:23:48.496055,Takeout,2,39,Celebration
1121,4485,1.6,2025-04-04 17:32:24.305282,Takeout,2,26,Casual
1132,1509,2.1,2023-12-08 15:47:02.424799,Dine-in,8,10,Business
490,2014,1.7,2024-12-03 18:17:53.108495,Dine-in,6,56,Family
702,2787,1.0,2024-12-24 17:35:08.845040,Dine-in,1,24,Business
1185,1545,2.5,2023-08-23 07:57:46.501856,Dine-in,7,33,Family
736,718,2.1,2024-12-30 18:33:31.446154,Dine-in,8,28,Date
1610,225,1.2,2025-02-20 20:44:43.588984,Dine-in,8,55,Celebration
1186,1006,2.5,2024-11-07 11:53:36.475892,Dine-in,7,43,Casual
326,4479,2.1,2023-10-03 12:55:28.008844,Takeout,7,32,Date
1689,3941,1.7,2023-08-24 13:12:52.251195,Takeout,1,55,Business
1991,4857,1.0,2024-07-17 04:43:59.318734,Takeout,5,52,Date
1642,269,1.4,2024-12-01 02:01:24.866336,Takeout,5,39,Celebration
248,279,1.3,2025-03-29 23:18:17.490827,Delivery,2,21,Family
941,4307,1.8,2025-06-29 23:55:55.846792,Dine-in,6,32,Casual
1234,3177,2.6,2025-05-28 19:51:36.378361,Delivery,5,26,Business
27,901,2.1,2024-10-07 03:07:29.742428,Delivery,4,27,Date
659,2361,2.5,2024-07-08 01:48:27.858390,Takeout,7,30,Family
267,3183,1.3,2025-03-09 18:02:21.072826,Takeout,3,41,Date
771,2837,1.8,2023-12-21 03:42:43.311081,Takeout,4,25,Date
397,1404,1.8,2024-04-06 13:26:27.384389,Takeout,5,33,Casual
1621,988,1.3,2025-05-20 14:25:02.037107,Takeout,4,31,Family
1287,491,1.4,2025-07-12 04:04:55.242329,Dine-in,3,38,Business
3,377,2.0,2025-06-21 04:33:38.486943,Delivery,2,17,Family
1837,2900,1.8,2024-01-13 00:25:51.555831,Takeout,2,44,Date
567,2712,1.2,2025-06-29 00:54:24.860004,Delivery,8,59,Celebration
257,1569,2.0,2024-10-02 20:18:19.027579,Takeout,4,59,Business
1538,3939,1.4,2025-03-02 11:33:06.908385,Takeout,3,42,Family
721,3807,2.2,2023-11-28 16:05:04.907815,Dine-in,7,5,Business
528,763,2.4,2025-07-11 12:48:13.443586,Delivery,7,20,Casual
655,1262,1.1,2025-01-09 09:24:50.793290,Delivery,1,51,Business
1417,1501,1.0,2024-06-19 10:36:29.779456,Delivery,5,40,Family
1417,4227,1.0,2023-10-02 18:35:39.306178,Takeout,3,26,Celebration
646,2699,1.0,2023-07-25 22:16:51.047003,Delivery,1,54,Date
641,934,1.8,2024-06-06 06:00:32.611936,Takeout,7,53,Casual
928,1211,1.7,2024-01-29 14:38:20.721382,Takeout,6,18,Family
144,1798,2.1,2024-05-22 11:45:55.529861,Dine-in,4,42,Date
1305,3413,1.0,2024-02-20 22:36:27.894279,Dine-in,2,48,Celebration
1315,4403,1.1,2024-01-07 02:13:05.702296,Delivery,6,21,Celebration
1176,4441,1.4,2024-04-21 03:51:42.360877,Delivery,4,36,Family
947,462,1.8,2025-03-31 10:41:01.828795,Dine-in,1,44,Business
168,4019,1.7,2024-12-19 14:34:20.493155,Dine-in,4,11,Celebration
1216,4445,1.0,2024-05-17 06:52:35.757217,Delivery,8,27,Celebration
888,4261,1.0,2024-10-22 06:11:28.047274,Delivery,8,35,Casual
1081,3781,1.0,2024-03-20 01:17:10.365797,Dine-in,8,11,Celebration
547,198,1.8,2023-07-20 14:12:27.210899,Dine-in,7,36,Celebration
1487,2382,2.1,2024-11-15 09:14:28.507959,Delivery,7,52,Business
1479,2077,1.0,2023-08-27 04:08:26.350634,Dine-in,5,58,Casual
158,1493,1.2,2024-11-22 18:36:37.364864,Dine-in,8,54,Family
1742,4669,2.5,2024-03-29 07:41:56.160297,Takeout,7,31,Casual
1815,2615,1.5,2024-06-02 15:09:42.903924,Dine-in,2,57,Family
757,1475,2.1,2025-02-10 14:53:28.400002,Takeout,2,53,Casual
231,4362,2.2,2025-03-04 18:02:50.561282,Dine-in,4,51,Celebration
996,2541,1.2,2024-05-30 17:34:30.522772,Takeout,3,30,Date
1827,3671,1.4,2025-01-16 21:19:56.949442,Dine-in,8,53,Celebration
1154,1046,2.1,2024-11-22 16:17:50.165995,Takeout,8,53,Celebration
395,668,1.5,2023-10-26 15:30:01.689775,Dine-in,2,9,Date
636,619,2.2,2024-12-08 10:16:55.347620,Delivery,4,17,Family
1563,32,1.5,2024-11-25 02:53:48.237699,Delivery,8,20,Casual
972,1612,1.1,2023-09-08 13:29:43.067149,Dine-in,2,22,Casual
1725,866,1.7,2024-07-27 03:34:30.441501,Dine-in,4,46,Business
1513,227,1.5,2024-02-12 06:29:14.121432,Delivery,8,14,Business
622,540,2.8,2024-01-28 07:48:53.932626,Dine-in,6,39,Casual
503,92,1.4,2024-10-04 10:42:26.916547,Takeout,4,23,Celebration
335,1588,1.5,2023-10-01 04:12:02.786558,Takeout,5,49,Casual
1625,3901,1.4,2023-07-29 03:44:35.566390,Dine-in,5,42,Family
536,4582,2.3,2024-02-02 16:10:59.912404,Dine-in,7,19,Business
1382,2501,1.5,2024-07-29 14:57:06.012006,Delivery,6,32,Business
400,4972,1.8,2023-08-28 11:33:43.256425,Delivery,7,20,Casual
773,2979,2.3,2025-03-02 01:09:53.567681,Delivery,7,40,Date
1013,1957,2.1,2024-10-28 09:15:48.796601,Takeout,2,41,Date
1860,3979,1.9,2024-03-09 15:35:12.919325,Delivery,5,9,Celebration
134,3382,1.7,2025-04-22 02:19:49.469714,Takeout,1,9,Family
817,391,1.8,2023-07-25 00:05:32.676727,Takeout,2,7,Casual
790,1412,1.8,2024-06-06 23:24:22.346908,Dine-in,8,33,Date
1841,1558,1.3,2023-12-17 19:17:09.820260,Takeout,7,57,Business
723,2208,1.2,2025-04-07 13:59:38.026958,Delivery,2,20,Family
301,3410,1.5,2023-09-10 14:58:37.763132,Delivery,6,11,Family
1851,3039,2.2,2024-01-19 16:57:47.390545,Delivery,5,33,Casual
1740,4977,1.1,2025-04-10 05:17:50.589143,Takeout,1,48,Date
1738,1181,1.9,2025-03-02 10:12:42.467129,Dine-in,3,59,Celebration
1667,3308,1.1,2024-10-10 17:40:35.332913,Dine-in,4,42,Family
1665,743,2.3,2024-08-07 04:15:16.745937,Takeout,7,35,Family
859,1791,1.7,2024-05-04 02:08:03.220823,Dine-in,4,44,Family
1829,691,1.4,2024-08-20 05:51:15.902476,Takeout,2,31,Casual
1764,1192,1.0,2025-04-22 05:15:09.251465,Takeout,3,21,Date
443,1855,1.5,2024-11-25 11:10:39.576195,Dine-in,6,26,Family
1427,1711,1.9,2025-04-07 12:29:57.403376,Dine-in,2,44,Date
596,2761,1.0,2024-12-04 18:44:36.157590,Takeout,2,13,Business
383,2045,1.6,2023-11-08 00:22:01.793005,Delivery,3,25,Business
112,2137,1.3,2024-08-18 08:32:56.987151,Delivery,1,45,Business
1208,1842,1.8,2024-02-01 11:46:00.723103,Dine-in,6,11,Date
388,3659,1.4,2025-03-07 14:08:36.334120,Takeout,4,5,Business
119,1481,1.3,2023-11-28 11:05:26.396865,Dine-in,5,24,Celebration
1522,4405,2.1,2023-11-27 17:18:52.767345,Dine-in,3,28,Celebration
1171,3151,1.5,2025-05-23 09:45:07.926742,Takeout,8,28,Date
1981,148,1.7,2023-11-22 10:43:23.340170,Dine-in,5,39,Family
658,2948,1.6,2024-05-19 06:45:01.160218,Delivery,8,43,Date
84,4976,1.0,2024-11-07 23:10:11.556888,Dine-in,8,38,Celebration
378,1912,2.6,2023-08-08 15:06:10.477942,Dine-in,6,32,Business
3,550,1.8,2024-02-22 05:36:02.198058,Dine-in,4,29,Casual
324,3335,1.5,2024-02-07 07:55:22.599762,Takeout,8,59,Date
1880,3827,2.1,2024-03-31 00:40:47.009419,Delivery,2,56,Casual
1124,859,1.4,2025-05-29 22:51:25.221379,Dine-in,7,7,Celebration
44,2826,2.3,2024-06-01 02:56:37.873871,Takeout,7,31,Business
1999,2352,1.8,2023-11-22 02:35:41.437619,Takeout,6,60,Celebration
590,3206,1.7,2023-12-14 16:02:13.216511,Delivery,8,27,Celebration
1013,4251,1.9,2024-05-31 14:41:23.236767,Takeout,7,6,Business
971,262,1.9,2023-09-19 08:42:02.372945,Delivery,8,59,Business
839,41,2.0,2023-08-04 10:47:51.259075,Delivery,3,24,Family
272,3319,1.9,2025-04-08 09:03:08.720100,Delivery,6,23,Business
724,377,1.0,2023-12-29 19:20:40.872817,Takeout,1,48,Celebration
259,4921,1.8,2024-11-14 21:45:40.247369,Delivery,6,31,Casual
686,190,2.3,2024-04-26 07:24:41.297325,Delivery,8,5,Business
314,3165,1.2,2024-08-06 10:38:25.001295,Dine-in,2,37,Family
550,3083,1.4,2025-06-07 10:19:11.012811,Takeout,2,19,Business
467,132,1.7,2024-10-08 17:22:40.230491,Dine-in,5,42,Family
1030,3534,1.6,2024-09-03 07:56:34.975867,Dine-in,2,12,Casual
1946,229,1.0,2023-07-31 14:45:29.854074,Delivery,5,46,Business
1690,3611,1.1,2025-05-13 14:00:24.972717,Dine-in,4,16,Family
1509,4575,1.0,2024-09-15 23:20:16.243468,Delivery,7,19,Business
746,4854,2.0,2025-05-25 09:59:41.771490,Dine-in,1,49,Date
165,2972,1.0,2024-04-14 20:51:10.897987,Dine-in,3,5,Celebration
224,3558,2.9,2024-11-30 16:57:28.736003,Delivery,3,45,Celebration
1525,3980,1.7,2025-06-27 05:52:33.069556,Dine-in,2,44,Business
1999,3266,1.2,2024-03-28 00:16:03.841051,Dine-in,6,30,Casual
1267,2376,1.6,2025-06-24 19:11:08.668379,Delivery,6,49,Business
1333,2994,1.5,2024-09-19 00:24:59.616359,Delivery,6,44,Family
887,184,1.8,2023-12-17 13:14:18.988243,Delivery,2,56,Business
1447,1256,1.5,2024-12-30 23:47:41.353824,Takeout,6,36,Business
655,2242,1.3,2024-10-21 03:34:12.875235,Delivery,4,50,Date
606,767,1.7,2024-01-18 06:36:39.111641,Delivery,3,52,Family
1108,573,1.0,2024-06-26 20:22:38.083381,Takeout,4,18,Celebration
336,3743,1.3,2024-11-18 01:35:25.745808,Dine-in,2,54,Casual
1045,3181,1.3,2024-01-10 16:28:05.971851,Takeout,3,11,Business
1790,2541,1.6,2025-02-10 18:29:26.042124,Dine-in,4,59,Celebration
1954,2483,1.7,2024-03-11 11:31:40.495950,Takeout,8,26,Business
1495,4793,1.3,2025-06-09 19:23:56.614488,Takeout,4,7,Casual
1660,1551,1.2,2024-08-23 16:25:10.443187,Delivery,4,54,Celebration
871,3501,1.7,2023-11-15 11:06:07.522923,Dine-in,5,17,Celebration
939,4204,1.5,2025-05-27 09:18:20.093615,Delivery,3,44,Casual
690,1062,1.0,2025-01-05 03:36:34.367902,Dine-in,5,27,Celebration
79,3647,1.7,2025-05-07 10:18:07.692001,Delivery,1,27,Business
1825,4248,1.3,2024-08-11 04:43:02.483230,Takeout,1,39,Date
1737,4969,2.2,2024-01-07 07:08:28.202734,Takeout,3,16,Celebration
1309,1770,1.2,2024-01-23 05:01:45.146134,Takeout,8,10,Business
435,2565,1.7,2023-09-24 04:02:42.053423,Takeout,1,39,Family
1570,2324,1.8,2025-02-09 09:39:47.285559,Delivery,4,18,Celebration
656,4939,1.5,2025-05-13 13:36:15.529106,Takeout,4,17,Casual
138,1374,1.4,2024-11-28 01:36:27.072043,Delivery,6,12,Date
725,4456,3.3,2023-12-04 17:47:26.952768,Takeout,6,48,Casual
1813,822,1.9,2024-11-29 20:00:23.236110,Delivery,1,46,Business
609,2254,1.2,2023-10-10 06:39:06.930014,Dine-in,5,48,Business
1153,1624,1.3,2025-06-14 09:02:12.469847,Delivery,7,39,Celebration
130,4486,1.8,2025-06-23 17:39:46.423684,Dine-in,3,21,Business
780,1723,1.8,2024-11-08 10:44:22.383221,Takeout,5,31,Celebration
821,2262,2.1,2023-11-13 04:40:16.923481,Dine-in,8,26,Celebration
1817,2299,3.1,2024-02-07 08:34:36.647922,Takeout,6,21,Business
809,3670,2.3,2024-09-02 13:51:24.563969,Takeout,3,17,Business
1933,272,1.7,2023-10-09 13:23:55.011590,Dine-in,1,35,Date
937,753,1.7,2024-01-14 07:20:09.197561,Dine-in,2,41,Casual
653,453,1.4,2024-08-30 19:43:09.433012,Delivery,7,50,Family
466,2349,1.2,2024-09-11 18:23:12.496347,Takeout,2,5,Family
1137,4109,1.4,2024-09-11 22:12:34.414620,Takeout,5,11,Casual
1787,2845,1.8,2024-02-09 05:00:42.398610,Delivery,8,47,Casual
1391,1578,1.6,2024-11-07 16:03:39.768682,Delivery,7,19,Family
1990,4375,1.2,2024-04-29 23:51:27.084686,Takeout,2,22,Celebration
1160,555,1.9,2023-08-18 00:15:57.177854,Takeout,1,26,Business
1606,4318,1.4,2024-03-18 22:48:17.755497,Delivery,1,47,Business
917,3655,1.3,2023-08-13 00:26:30.494249,Delivery,7,36,Family
756,2913,1.7,2024-11-19 03:50:50.451427,Takeout,2,33,Celebration
1237,3948,1.8,2024-12-01 12:49:05.739812,Delivery,2,60,Celebration
813,3993,2.0,2024-10-14 11:04:19.496612,Delivery,5,20,Celebration
1915,3599,1.0,2025-02-06 12:04:15.746548,Dine-in,5,11,Casual
1335,3007,1.3,2024-06-13 21:49:24.982865,Takeout,5,9,Business
1531,2946,1.6,2024-08-09 05:39:43.254200,Takeout,2,48,Casual
1073,4341,1.2,2025-01-21 15:32:59.438451,Dine-in,5,18,Celebration
1761,1139,1.3,2025-01-05 15:24:35.208184,Takeout,8,50,Celebration
256,927,1.3,2025-01-05 03:41:52.609283,Delivery,2,30,Business
769,114,1.5,2023-11-17 07:33:48.515104,Takeout,8,29,Family
718,3596,2.0,2024-09-14 22:15:37.128983,Delivery,5,22,Business
824,2751,1.6,2023-07-14 14:22:10.833068,Takeout,8,55,Date
1973,3342,2.6,2024-09-24 03:45:35.541471,Takeout,1,17,Family
779,1774,1.8,2024-11-05 12:37:09.937000,Dine-in,8,51,Date
784,3273,1.2,2024-09-03 16:06:16.902768,Takeout,6,10,Casual
1033,3313,1.8,2023-11-01 01:48:07.051991,Dine-in,4,53,Date
678,4465,1.0,2025-05-18 01:42:31.950999,Takeout,2,44,Date
1571,1783,1.1,2025-01-06 03:42:53.788531,Dine-in,7,38,Business
1734,2204,2.1,2023-08-04 06:45:25.587477,Delivery,6,52,Date
709,3626,2.6,2023-10-13 01:18:15.436149,Takeout,2,57,Date
1364,898,1.6,2024-10-31 17:23:47.076729,Delivery,7,60,Casual
1546,2994,1.2,2024-10-16 11:57:03.346190,Takeout,7,22,Celebration
197,2155,1.1,2025-01-26 02:11:37.323287,Takeout,5,58,Business
1831,3340,1.2,2023-10-04 11:18:53.497221,Delivery,5,33,Casual
616,2691,1.4,2023-09-05 13:33:02.172936,Delivery,5,15,Business
1443,398,1.5,2025-04-05 20:57:50.278443,Dine-in,2,50,Date
1938,3481,1.0,2024-04-15 01:02:04.693342,Dine-in,8,58,Date
244,2668,1.7,2025-05-24 16:36:17.510623,Takeout,7,28,Family
1724,3702,1.9,2023-08-04 05:00:01.379755,Dine-in,2,12,Family
1206,4784,1.7,2023-09-28 06:02:29.300348,Dine-in,6,39,Celebration
1285,2504,2.1,2024-09-29 01:39:49.475055,Takeout,3,58,Celebration
475,1550,1.0,2023-09-17 16:27:46.595308,Takeout,8,19,Casual
1061,4953,1.8,2024-10-01 14:46:21.073145,Delivery,2,39,Date
1226,2086,1.9,2025-05-09 20:48:39.066520,Dine-in,7,23,Casual
1858,1417,2.2,2024-02-23 03:13:23.195614,Dine-in,8,58,Casual
1904,3519,1.7,2024-01-30 07:15:27.368326,Takeout,1,43,Date
752,4547,1.6,2024-11-23 11:05:56.199001,Dine-in,8,56,Celebration
1578,4802,1.6,2024-07-25 09:01:32.920561,Takeout,4,26,Celebration
79,2487,1.3,2024-07-21 14:44:20.810609,Takeout,2,45,Date
965,1422,1.2,2025-01-10 10:17:12.859302,Takeout,6,41,Family
1212,4946,1.8,2025-04-08 11:35:35.345429,Dine-in,6,14,Date
1238,1174,1.9,2023-10-13 17:50:13.956609,Dine-in,5,12,Celebration
1576,267,1.7,2023-12-07 18:47:47.754324,Delivery,8,20,Celebration
801,4116,1.4,2024-09-25 21:14:28.469483,Delivery,4,22,Date
257,2426,1.8,2024-10-27 14:20:46.773828,Dine-in,6,5,Celebration
1747,4194,1.0,2023-08-15 12:21:05.317725,Takeout,6,27,Celebration
621,3966,1.9,2025-02-19 23:18:48.266784,Takeout,3,56,Family
1852,2616,1.6,2025-02-06 14:45:17.832547,Delivery,8,35,Date
340,1350,1.8,2025-07-10 09:11:58.373681,Takeout,2,5,Casual
304,4449,1.1,2025-02-23 06:36:29.468151,Dine-in,7,57,Casual
1064,1864,1.9,2023-10-11 06:01:43.199265,Delivery,5,19,Date
1228,1705,1.6,2023-08-31 19:09:02.400502,Delivery,7,20,Celebration
1731,6,1.0,2025-03-08 21:09:56.634419,Takeout,2,27,Business
506,4444,1.6,2025-01-08 17:33:17.250389,Takeout,1,47,Family
225,1511,2.1,2023-12-05 21:13:35.399101,Takeout,3,18,Family
1762,4618,1.3,2023-10-22 09:40:16.149736,Delivery,2,25,Date
1685,3474,1.6,2025-02-05 21:46:42.611191,Takeout,5,32,Date
509,1845,1.4,2024-04-25 14:17:43.709019,Dine-in,8,19,Family
1309,4114,2.0,2024-07-23 17:36:50.888322,Takeout,3,10,Casual
1687,3308,1.7,2025-05-27 14:51:49.900752,Takeout,8,9,Celebration
273,3656,1.5,2024-03-23 09:12:18.122081,Takeout,1,11,Celebration
1062,1667,1.0,2024-11-24 08:20:38.794544,Dine-in,5,52,Date
1369,4817,1.8,2023-07-24 20:02:50.665155,Takeout,8,40,Family
1090,4181,1.0,2024-09-07 22:50:06.135512,Dine-in,4,54,Family
1780,1979,1.0,2024-07-16 00:09:19.446151,Delivery,8,21,Family
318,3206,1.7,2024-01-23 21:22:33.774335,Delivery,5,6,Casual
581,3099,1.4,2023-11-25 15:54:06.156075,Dine-in,4,50,Date
889,4858,1.9,2024-10-10 15:57:45.579346,Dine-in,3,23,Casual
1715,2132,1.5,2024-10-27 20:12:23.990828,Dine-in,5,55,Family
699,3496,1.3,2024-09-30 17:56:31.073756,Takeout,6,57,Celebration
304,3980,1.0,2023-12-08 23:28:41.721070,Takeout,1,51,Celebration
406,835,2.0,2024-08-18 03:51:45.065435,Delivery,8,43,Business
343,2240,1.6,2024-06-15 14:39:32.378715,Delivery,2,51,Family
275,4912,2.0,2024-06-14 01:20:08.563888,Dine-in,2,49,Casual
217,3478,3.4,2024-10-28 13:12:46.426520,Takeout,4,5,Casual
1433,2848,2.0,2025-02-22 00:07:54.193157,Delivery,1,49,Business
41,4617,2.2,2023-11-08 21:47:04.289396,Takeout,1,60,Date
992,19,1.4,2024-11-30 15:59:07.801114,Takeout,8,13,Date
1838,355,2.6,2025-04-07 11:41:47.161788,Delivery,5,13,Family
165,3031,2.6,2024-04-27 15:31:55.518475,Delivery,8,49,Date
1617,1869,1.7,2024-03-09 06:35:20.521298,Delivery,1,15,Date
365,4992,2.2,2023-08-22 02:18:50.546988,Delivery,7,51,Celebration
1301,438,2.0,2023-08-15 15:42:49.002521,Dine-in,3,6,Celebration
1339,2051,1.6,2024-01-31 04:12:12.266315,Delivery,8,48,Business
120,3210,1.1,2023-10-23 10:12:31.133529,Takeout,7,46,Casual
806,2671,1.8,2024-10-21 18:17:47.643405,Delivery,8,7,Celebration
805,2274,1.4,2024-02-05 07:25:58.850519,Dine-in,4,16,Business
1704,1343,2.0,2025-06-11 23:43:34.749316,Delivery,7,12,Business
466,2553,1.3,2024-05-01 13:59:30.892173,Takeout,6,36,Business
1255,710,1.5,2024-02-21 02:19:36.750595,Dine-in,5,41,Celebration
609,874,1.4,2024-02-05 05:52:37.687082,Delivery,4,11,Business
1227,4317,2.1,2025-03-12 01:17:34.297392,Takeout,6,26,Celebration
165,3477,1.8,2024-07-06 05:17:45.606812,Takeout,6,48,Date
1422,2546,2.2,2025-01-29 07:33:26.840970,Delivery,4,15,Business
379,694,2.3,2025-05-22 14:37:58.081393,Dine-in,5,53,Date
155,4603,2.3,2024-09-19 16:35:52.129095,Delivery,1,45,Casual
1761,3355,1.3,2024-08-09 03:54:45.691351,Dine-in,5,55,Business
1476,2710,1.1,2024-02-06 03:04:10.928800,Dine-in,2,11,Celebration
1492,3016,2.2,2023-10-23 13:33:12.912752,Delivery,7,37,Celebration
1878,1007,1.8,2025-04-13 03:35:05.837905,Delivery,3,42,Family
298,227,1.0,2024-09-20 14:03:16.810771,Takeout,4,40,Business
1191,4518,1.3,2023-12-07 12:01:00.823966,Delivery,1,59,Business
1793,953,1.7,2024-06-05 17:13:31.820798,Delivery,8,12,Date
1740,4647,2.1,2024-08-13 18:04:40.652963,Takeout,4,41,Casual
574,1691,2.2,2025-06-08 17:55:10.018910,Dine-in,2,60,Casual
1648,3805,1.3,2024-01-14 07:11:48.705115,Delivery,5,25,Casual
521,4263,1.6,2024-03-28 12:19:07.899157,Dine-in,4,58,Celebration
593,3838,1.7,2023-12-16 03:37:58.102138,Delivery,4,9,Business
260,3777,1.0,2025-04-23 20:00:38.538229,Dine-in,1,34,Celebration
